conference_name,start_date,end_date,city,country,venue,accommodation,organizer,overview,official_url,source_url,call_for_papers,cfp_deadline,cfp_url,fees_and_pricing,registration_url,program_agenda,keynote_speakers,technical_committee,sponsors,logo_url,banner_url
AI in Latam (AILAT26),2026-10-01,2026-10-01,Buenos Aires,Argentina,Not yet announced,Not yet announced,Not yet announced,Latin American AI training and networking event with thousands of attendees and 100+ speakers.,Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
AI+X Summit 2026,2026-10-01,2026-10-01,Zurich,Switzerland,"StageOne Event and Convention Hall, Elias-Canetti-Strasse 146",Not yet announced,Not yet announced,"Applied AI summit spanning industry, research and cross-sector AI applications.",Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
ASMUS 2026 — MICCAI Workshop on Medical Ultrasound,2026-10-01,2026-10-01,Strasbourg,France,Not yet announced,Not yet announced,Not yet announced,"Medical-ultrasound workshop covering AI-assisted imaging, robotics, foundation models and multimodal learning.",Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
The 4th Annual AI Regulation Summit,2026-10-01,2026-10-01,London,United Kingdom,Not yet announced,Not yet announced,Not yet announced,"Policy summit bringing together government, regulators and industry leaders on AI regulation.",Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
The Boston AI Summit 2026,2026-10-01,2026-10-02,Boston,United States,Not yet announced,Not yet announced,Not yet announced,"Flagship Boston AI Week conference for business, research and applied AI.",Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Doors 09:00; program 10:00–17:00 during the flagship conference.,Not yet announced,Not yet announced,Not yet announced,,
ASOCIO Digital AI Summit 2026,2026-10-05,2026-10-07,Jakarta,Indonesia,Not yet announced,Not yet announced,Not yet announced,"Asia-Oceania digital and AI summit for technology leaders, governments and industry.",Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
World Summit AI 2026 — Amsterdam,2026-10-07,2026-10-08,Amsterdam (Zaandam),Netherlands,Not yet announced,Not yet announced,Not yet announced,Large international enterprise and applied-AI summit.,Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
World Summit AI Amsterdam 2026,2026-10-07,2026-10-08,Amsterdam,Netherlands,"Taets Art & Event Park, Amsterdam",Official attendee accommodation partnership with HotelPlanner provides discounted hotel rates for World Summit AI attendees.,InspiredMinds / World Summit AI,"10th-anniversary World Summit AI gathering the global AI ecosystem across research, enterprise deployment, governance, safety, startups, investment and frontier technologies.",https://worldsummit.ai/,https://worldsummit.ai/,Industry summit rather than an academic proceedings conference. The official site accepts applications to speak and startup applications; programming is curated by World Summit AI / InspiredMinds.,Not yet announced,https://worldsummit.ai/speakers/,"Published July ticket price was €899 before increasing to €1,499; official community partners also offer limited promotional discounts, including a 50% partner flash sale scheduled for 14–18 Sep 2026.",https://worldsummit.ai/,"10 tracks and 300+ speakers covering frontier models, sovereign AI, infrastructure, robotics, enterprise transformation, regulation, investment, AI safety and adoption; also includes startup/VC spotlights, AI labs, workshops and networking.",Keynote Speakers: Daphne Koller; Zico Kolter; Marietje Schaake; Simon See; Mark Papermaster; Harrison Chase; Audrey Tang; Anne-Laure de Chammard; Wendy Tan White; Jesper Schleimann; Claudia Nemat; Brian Solis; Helen King; Alice Xiang.,"Committee: Industry summit; no academic technical program committee. Agenda is curated by World Summit AI / InspiredMinds and includes 10 tracks with invited industry, research, policy and investment leaders.","Global Partners: Airia, SAP; Platinum Partner: HP; Gold Partners include Figma and Glean; City of Amsterdam is Headline City Host Partner.",,
AICON 2026 — AI for Everyone,2026-10-08,2026-10-09,Singapore,Singapore,"*SCAPE, 2 Orchard Link, Singapore 237978",Not yet announced,AICON / CreativesAtWork / partner organisations,"Human-first AI festival designed for consumers, creators, businesses, educators and families, combining practical AI learning, workshops, creative experiences and responsible-AI discussion.",https://www.aicon.show/,https://www.aicon.show/,"No academic CFP. Speakers, creators and programme partners are curated by the AICON organising team.",Not yet announced,https://www.aicon.show/,Not yet announced,https://www.aicon.show/,"Day 1: AI for Humanity Impact Forum with keynotes and panels on governable frontier AI, commercialization, governance and impact. Day 2: AI for Everyone Forum with AI for SMEs, creative economy, agency, youth AI literacy and Ask-Me-Anything sessions; 50+ workshops/talks and 6+ immersive zones.","Keynote Speakers: Dr James Ong; Jaze Phua; Jayce Tham; additional government, industry, creator and education speakers are listed in the official programme.","Committee: Organisers/team include Dr James Ong, Jaze Phua, Jayce Tham, Kent Teo, Cameron Liu and Gabriel Wee.",Supported by Tesla; NTUC Employment and Employability Institute (e2i); Singtel; *SCAPE; DesignSingapore Council support is also listed for programme elements.,,
"AIES 2026 — AAAI/ACM Conference on AI, Ethics, and Society",2026-10-12,2026-10-14,Malmö,Sweden,Not yet announced,Not yet announced,Not yet announced,Interdisciplinary research conference on AI ethics and society.,Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
MAICON 2026,2026-10-13,2026-10-15,Cleveland,United States,"Cleveland, Ohio, United States",Official hotel/travel guidance is provided to registered attendees through MAICON's event information.,Marketing AI Institute,"Marketing Artificial Intelligence Conference focused on practical AI adoption, generative AI, automation, AI strategy, content, analytics and business transformation.",https://www.maicon.ai/,https://www.maicon.ai/,Industry event with curated practitioner and expert speaker submissions rather than an academic proceedings CFP.,Not yet announced,https://www.maicon.ai/,Not yet announced,https://www.maicon.ai/,"Keynotes, breakout sessions, practitioner talks, workshops and networking focused on responsible and practical AI use in marketing and business.",Keynote Speakers: The conference features AI experts and practitioners from the Marketing AI Institute community; the current 2026 speaker roster is published by the organizer.,Committee: Program is curated by the Marketing AI Institute content and events team.,Technology and service providers participate through MAICON sponsorship and exhibitor packages.,,
LLMSS 2026 — Large Language Models and the Social Sciences,2026-10-14,2026-10-16,Hong Kong,Hong Kong,City University of Hong Kong,Not yet announced,Talking to Machines; Peking University Analytics Lab for Global Risk Politics; City University of Hong Kong Computational Social Sciences Lab; University of Oxford Nuffield College Talking to Machines Initiative,Academic conference on large language models in empirical social science.,Not yet announced,https://aiwhatson.com/event/llmss-2026,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,14–16 Oct 2026; pre-conference workshops and main paper sessions.,Not yet announced,Not yet announced,Not yet announced,,
The Autonomous Production Ops Summit 2026,2026-10-14,2026-10-14,San Francisco,United States,Not yet announced,Not yet announced,NeuBird AI,Summit on AI-driven production operations and automation.,Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
2nd Asia AI Infrastructure Indonesia Summit 2026,2026-10-15,2026-10-15,Jakarta,Indonesia,Not yet announced,Not yet announced,Not yet announced,"Full-stack AI infrastructure summit covering AI data centres, cloud, edge and sovereign AI.",Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
MIT AI Conference 2026 — AI: The Age of Agency,2026-10-17,2026-10-17,Mountain View,United States,"Mountain View, California, United States",Not yet announced,MIT Club of Northern California,"10th annual MIT AI Conference focused on the age of AI agency, bringing together researchers, engineers, executives, founders and investors.",https://www.mitaiconference.org/,https://www.mitaiconference.org/,Curated conference; no conventional archival-paper CFP.,Not yet announced,https://www.mitaiconference.org/,Not yet announced,https://www.mitaiconference.org/,"Keynotes, panels, workshops and live demonstrations focused on agentic AI, applied AI, enterprise deployment and the future of intelligent systems.","Keynote Speakers: The 2026 program includes invited AI researchers, engineers, founders and executives; the organizer publishes the current speaker roster on the event site.",Committee: Program is curated by the MIT Club of Northern California / MIT AI Conference organizing team.,Sponsor and partner opportunities are offered through the event organizer.,,
AI & Big Data Expo Europe 2026,2026-10-19,2026-10-20,Amsterdam,Netherlands,"RAI Amsterdam, Europaplein 24, 1078 GZ Amsterdam","Official accommodation partner: Eventbeds, providing negotiated event hotel pricing for attendees.",TechEx / AI & Big Data Expo,"European enterprise AI and big-data conference covering generative AI, autonomous/agentic systems, AI governance, enterprise infrastructure, data platforms, analytics and AI development.",https://www.ai-expo.net/,https://www.ai-expo.net/europe/,"This is an industry conference rather than an academic paper venue. Speaker, sponsor and exhibitor applications are accepted through the official Get Involved process.",Not yet announced,https://www.ai-expo.net/europe/get-involved/,"Gold Pass €1,399; Free Pass €0. Current event homepage also advertises a Startup Pass at €699. Group bookings of 5+ can request additional discounts.",https://www.ai-expo.net/europe/tickets/,"Day 1 tracks include AI Leadership, Enterprise AI and AI Builders. Day 2 includes Data & Analytics, Future AI, AI Developer, Physical AI and related TechEx learning/networking activities.","Keynote Speakers: Shruti Sharma — Chief Data & AI Officer, Save the Children UK; Claudio Gienal — Chief Transformation Officer, AXA Europe & Health; Vincent Decugis — Chief Data Officer, BNP Paribas; Murat Akturk — Global Senior Director of Growth, AI & Digital Innovation, GE Healthcare; Ambica Rajagopal — Group Chief Data & AI Officer, Michelin; Philippe Rambach — SVP & Chief Artificial Intelligence Officer, Schneider Electric; Shahin Shahkarami — Global VP of AI & Automation, IKEA; Kevin Redmond — VP Data & AI Platform, IBM.","Committee: Published program/session leadership includes Tor Bøe-Lillegraven, Chief Data Officer at Eneco, chairing the AI Leadership opening session. Conference content is curated by the TechEx / AI & Big Data Expo programming team.","IBM; BMC; Dell + NVIDIA; CrateDB; Fivetran; Noventiq; Ververica; Nextworld; Dust; VeloDB; LILT; Alteryx; plus exhibitors including OutSystems, SAS, Glean, NTT DATA, Parloa, Unitree Robotics, Snowflake, Datadog and others.",,
All Things Open 2026,2026-10-19,2026-10-20,Raleigh,United States,Not yet announced,Not yet announced,Not yet announced,"Open-source technology conference with extensive AI, developer and infrastructure content.",Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
NVIDIA GTC Berlin 2026,2026-10-20,2026-10-22,Berlin,Germany,"Berlin, Germany — official GTC Berlin conference venues published through NVIDIA",Official GTC travel and attendee information is provided through NVIDIA's Berlin event pages.,NVIDIA,"NVIDIA's European GTC focused on accelerated computing, AI factories, agentic AI, physical AI, robotics, digital twins and production AI systems.",https://www.nvidia.com/,https://www.nvidia.com/en-eu/gtc/,Curated NVIDIA technical conference; session proposals and partner participation are managed through NVIDIA GTC channels rather than an academic CFP.,Not yet announced,https://www.nvidia.com/en-eu/gtc/,Conference registration and training are sold through NVIDIA GTC; certification exams at the event are included for on-site attendees and represent a published €115–€425 value. Group training purchases of 3+ seats receive 30% off.,https://www.nvidia.com/en-eu/gtc/,"20 Oct includes full-day workshops. 21–22 Oct include conference sessions, two-hour training labs, certification exams and technical programming on AI inference, agents, robotics, networking, BioNeMo, medical AI, digital twins and CUDA.",Keynote Speakers: NVIDIA executives and technical leaders headline the event; keynote and session rosters are published through the official GTC Berlin agenda.,"Committee: Program is curated by NVIDIA GTC's engineering, developer-relations, product and training teams.",NVIDIA partner ecosystem participates through the GTC expo and partner program.,,
PyTorch Conference North America 2026,2026-10-20,2026-10-21,San Jose,United States,"San Jose McEnery Convention Center, 150 W San Carlos St, San Jose, CA 95113","Official room block at San Jose Marriott, 301 South Market St; conference rate starts at US$289 plus taxes/fees; room block closes 25 Sep 2026, subject to availability.",PyTorch Foundation / Linux Foundation,"PyTorch Foundation's North America conference for researchers, developers and practitioners working across the open-source AI stack, including PyTorch, vLLM, DeepSpeed, Ray, Helion and Safetensors.",https://events.linuxfoundation.org/,https://events.linuxfoundation.org/pytorch-conference-north-america/,"Call for Proposals sought breakout sessions and posters emphasizing implementation details, architectural insights and developer tooling across PyTorch Foundation projects and AI/ML technical tracks.",2026-05-01,https://pytorch.org/blog/call-for-proposals-open-for-pytorch-conference-north-america-2026/,"Late attendee US$999; academic US$249. Earlier attendee rates were US$499 super-early, US$599 early and US$799 standard.",https://events.linuxfoundation.org/pytorch-conference-north-america/register/,"Two days of keynotes, technical talks, hands-on workshops, posters and community sessions covering training/inference, compilers, responsible AI, security/privacy, frameworks, agentic AI, vLLM and production ML systems.",Keynote Speakers: Mark Collier; Mazin Gilbert; Edward Yang; Alban Desmaison; Simon Mo; Bill Jia; Brian Stevens; Ujval Kapasi; Sara Hooker; Jana van Greunen; Chris Lattner; Joelle Pineau; Yiwei Song; Mark Saroufim.,Committee: Conference content and CFP managed by the PyTorch Foundation / Linux Foundation event programming team; speaker/CFP contact published as Cassandra Reyes-Jones.,"Official sponsor program includes Diamond, Platinum, Gold, Silver, Bronze and Startup/Non-Profit/VC tiers; sponsor participation is administered by the Linux Foundation.",,
RoboBusiness 2026,2026-10-20,2026-10-21,Santa Clara,United States,"Santa Clara Convention Center, Santa Clara, California",Official venue/travel guidance and nearby lodging options are provided by RoboBusiness for attendees.,WTWH Media / RoboBusiness,"Commercial robotics and automation event focused on building, deploying and scaling intelligent robots, including service robotics, AI, perception, motion, autonomy and robotics business models.",https://www.robobusiness.com/,https://www.robobusiness.com/,Industry conference with curated speaker submissions and partner/exhibitor participation rather than an academic archival-paper CFP.,Not yet announced,https://www.robobusiness.com/,Not yet announced,https://www.robobusiness.com/,"Technical sessions, keynotes, panels, exhibits and networking covering robotics design, autonomy, AI, software, sensors, motion, safety, manufacturing and commercialization.","Keynote Speakers: Current speaker roster includes robotics executives, founders, engineers and investors; speaker names are published on the official RoboBusiness program.",Committee: Program is curated by the RoboBusiness editorial and conference team.,Robotics technology vendors and solution providers participate through official sponsor and exhibitor programs.,,
Conference on AI and Higher Education,2026-10-28,2026-10-30,Atlanta,United States,Not yet announced,Not yet announced,Not yet announced,"Conference on responsible AI adoption, governance and implementation across higher education.",Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
GitHub Universe 2026,2026-10-28,2026-10-29,San Francisco,United States,Not yet announced,Not yet announced,Not yet announced,GitHub's flagship developer conference with AI-assisted software development and platform engineering.,https://github.com/,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
Futureproof Festival of AI 2026,2026-10-29,2026-10-31,Vancouver,Canada,Not yet announced,Not yet announced,Not yet announced,International AI culture and ideas festival.,Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
AI Expo Europe 2026,2026-11-01,2026-11-02,Bucharest,Romania,Not yet announced,Not yet announced,Not yet announced,Large European AI conference and expo focused on applied AI and technology.,Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
JAIS 2026 — Jordan AI Summit,2026-11-01,2026-11-03,Dead Sea,Jordan,Not yet announced,Not yet announced,Not yet announced,"Jordan AI Summit, a major regional gathering for AI leaders, government and industry.",Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
25th Mexican International Conference on Artificial Intelligence,2026-11-02,2026-11-06,Chihuahua,Mexico,"Tecnológico de Monterrey, Campus Chihuahua","Recommended main venue hotel: Hotel María Bonita Chihuahua, approximately 15–20 minutes from the venue; additional hotel options are published on the official Venue & Travel page.",Mexican Society for Artificial Intelligence (SMIA) / Tecnológico de Monterrey,"Mexico's leading annual AI conference and an established international forum for artificial intelligence, machine learning, data science, robotics, IoT, healthcare and education.",https://micai.org/,https://micai.org/2026/,Main-paper deadline 30 Jun 2026; workshop papers and demo showcase use separate calls. Accepted papers follow Springer publication workflows and conference presentation requirements.,2026-06-30,https://micai.org/2026/authors/,"Attendee early bird: Student US$90, SMIA member US$105, Regular US$150; later US$120/135/180. Author early bird: SMIA member US$600, Regular US$690; later US$660/750. Co-author/innovation pass early bird US$105 member / US$150 regular.",https://micai.org/2026/registration/,"Five-day conference with main technical sessions, workshops, tutorials, demo showcase, keynote activities, awards and gala/networking activities.",Not yet announced,"General Chair: Hiram Ponce. Program Chairs: Gilberto Ochoa and Iris Méndez. Workshops: Roberto Vazquez, Gustavo Arroyo, David Pinto. Tutorials: Joanna Alvarado, Claudia González, Josué Ruiz. Keynote Talks Committee: Bella Martínez.","Jointly organized by Mexican Society for Artificial Intelligence (SMIA) and Tecnológico de Monterrey, Campus Chihuahua; event site also lists regional/institutional partners and sponsors.",,
Data & AI Conference Europe 2026,2026-11-02,2026-11-06,London,United Kingdom,Not yet announced,Not yet announced,Not yet announced,"European event for data leaders, AI innovators and analytics professionals.",Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
Nxt AI-2026,2026-11-02,2026-11-04,Boston,United States,Not yet announced,Not yet announced,Not yet announced,Conference and expo positioned around next-generation AI research and applications.,Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
CoRL 2026 — Conference on Robot Learning,2026-11-09,2026-11-12,Austin,United States,Not yet announced,Not yet announced,Not yet announced,Major research conference on robot learning and embodied intelligence.,Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
ACM Multimedia 2026,2026-11-10,2026-11-14,Rio de Janeiro,Brazil,Not yet announced,Not yet announced,Not yet announced,"Major ACM research conference on multimedia, multimodal AI and machine learning.",Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
Microsoft Ignite 2026,2026-11-17,2026-11-20,San Francisco,United States,Not yet announced,Not yet announced,Not yet announced,"Microsoft flagship technology conference focused on AI, productivity, cloud and enterprise technology.",https://www.microsoft.com/,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
8th International Conference on Distributed Artificial Intelligence,2026-11-29,2026-12-02,Hong Kong,China,"City University of Hong Kong, Kowloon Tong, Hong Kong",Conference is hosted at City University of Hong Kong; travel/attendee logistics are provided through the official event site. Attendees arrange accommodation independently.,DAI Steering Committee / City University of Hong Kong,"International research conference on distributed and agentic AI, with tracks spanning agent infrastructure, learning, coordination, markets, embodied systems and AI for science.",https://www.adai.ai/,https://www.adai.ai/dai/2026/,Research and Industry Track full-paper deadline 3 Aug 2026; AI Paper Track deadline 10 Aug 2026; workshop/tutorial proposals due 30 Jul 2026. Sister-conference track accepts relevant already-published work on a rolling basis.,2026-08-03,https://www.adai.ai/dai/2026/dates.html,Not yet announced,https://www.adai.ai/dai/2026/dates.html,"29 Nov: workshops/tutorials. 30 Nov–1 Dec: main conference with paper sessions, invited talks, posters and panels; keynote, banquet and awards on 1 Dec. 2 Dec: discussion, town halls, community meetings and closing.",Keynote Speakers: Weinan E — Chinese Academy of Sciences; Michael I. Jordan — member of the U.S. National Academy of Sciences and National Academy of Engineering.,"General Co-Chairs: Minming Li, Francesca Rossi, Michael Wellman. PC Co-Chairs: Ian Gemp, Ying Wen. Industry Chair: Weiwen Liu. AI Paper Track Chair: Siheng Chen. Workshop/Tutorial Chair: Lei Bai. Sponsorship/Industry Chair: Bo An.","DAI 2026 has an official sponsorship programme for research labs, companies, foundations and community partners; named sponsor roster is still being populated.",,
7th Southern African Conference for Artificial Intelligence Research,2026-11-30,2026-12-04,Ballito,South Africa,"The Capital Zimbali, 6 Zimbali Drive, Zimbali Estate, Dolphin Coast, Ballito, Durban, South Africa","The Capital Zimbali is the conference resort. The official site also provides accommodation-search links across Afristay, Airbnb, Booking.com, Expedia, LekkeSlaap, RoomsForAfrica and other services.",SACAIR / University of KwaZulu-Natal,"Southern Africa's premier artificial-intelligence research conference, with 2026 theme 'Power, Justice, and the Governance of AI' and a multidisciplinary Global South perspective.",https://2026.sacair.org.za/,https://2026.sacair.org.za/,"Full-paper deadline was extended to 21 Aug 2026; acceptance notifications 28 Sep; camera-ready papers 5 Oct. Springer-formatted submissions span traditional/symbolic/data-driven AI, socio-technical AI, responsible/ethical AI and trans-disciplinary research.",2026-08-21,https://2026.sacair.org.za/call-for-papers/,Not yet announced,https://2026.sacair.org.za/,30 Nov student unconference; 1 Dec tutorials/workshops; 2–4 Dec main conference. Conference dinner is held at Collisheen Estate with arranged transfer.,Not yet announced,"General Chair: Anban Pillay. Programme Co-Chairs: Edgar Jembere and Terence van Zyl. Technical Programme Committee includes Paige Benton, Daniel Grimaldi, Eduan Kotzé, Aurona Gerber, Knut Hinkelmann, Fabio Tollon, Emma Ruttkamp-Bloem, Marelie Davel, Jonas Haldimann, Sunet Eybers and others.",Formal sponsorship/partnership programme is open with customizable packages managed by the SACAIR 2026 organising committee.,,
