"Conference Name","Dates","Venue","Program/Agenda","Keynote Speakers","Technical/Program Committee","Pricing/Registration","Sponsors/Exhibitors","Website","Regional Safety Note"
"2027 11th International Conference on Civil Engineering","","","","","","USD Standard $600; Student $550; Day Trip $100; Standard $450; Student $410; Standard $350; Student $320","","https://www.icoce.org/",""
"2027 8th Asia Conference on Renewable Energy and Environmental Engineering","","","","","","USD Standard $600; Student $550; One Day Trip $100; Standard $450; Student $410; Standard $350; Student $320","","https://www.areee.org/",""
"2027 IEEE 3rd International Conference on Power and Integrated Energy Systems","","","","","","USD Non-Student $510; IEEE Member $480; Student $450; Non-Student $360; IEEE Member $330; Student $300; Non-Student $310; IEEE Member $280; Student $250; Extra Full Paper (Same presenter with 2-3 papers) $400; Extra Abstract (Same presenter with 2-3 papers) $300; Extra Page (Full paper exceeds 6 pages) $70","","https://www.icpies.org/",""
"2027 13th International Conference on Control, Automation and Robotics","","","","","","USD IEEE Members (Presentation and Publication) $550; IEEE Members (Presentation Only) $390; IEEE Members (Listeners) $320; One Day Visit $100","","https://www.iccar.org/",""
"37th Anniversary World Congress on Biosensors","","","","","","USD Delegates from Industry $785; Multiple paper fee 3 $50","","https://www.elsevier.com/events/conferences/all/anniversary-world-congress-on-biosensors",""
"2027 The 10th International Conference on Artificial Intelligence and Big Data","","","","","","USD Listeners (Onsite Registration) 听众现场注册 $300; Students / IEEE Members 学生或者IEEE会员注册 $550; Listeners (Onsite Registration) 听众现场注册 $260","","https://www.icaibd.org/",""
"2027 7th International Conference on Software Engineering and Artificial Intelligence","","","","","","USD Regular Registration $500; Authors (IEEE member) $520; Authors (Regular) $550; Presenter without paper publication $380; Delegate without paper publication $250; Delegate （Student） $200; One Day Tour (optional) $80","","https://www.seai.org/",""
"Transportation Research Symposium 2027","","","","","","USD Academic standard registration rate 1 $745; Student registration rate 2 $475; Industry standard registration rate $845; Conference Dinner ticket $80","","https://www.elsevier.com/events/conferences/all/transport-research-symposium",""
"2027 International Conference on Power Systems and Control Engineering","","","","","","USD IEEE/Committee Member $520; IEEE/Committee Member $370; IEEE/Committee Member $300; One Day Visit $70","","https://www.psce.net/",""
"10th International Conference on Fracture of Polymers, Composites and Adhesives","","","","","","EUR Full delegates $1925; Accompanying person $660; Additional price per paper $50","","https://www.elsevier.com/events/conferences/all/esistc4conference",""
"Global Emergency Nursing Conference 2027","","","","","","EUR Early-booking academic delegate $645; Early-booking delegate $460; Standard delegate $510; Early-booking ENA member $360; ENA member $410; Additional paper fee 2 $50; Conference dinner ticket $80","","https://www.elsevier.com/events/conferences/all/global-emergency-nursing-conference",""
"Future Foods Congress 2027","","","","","","USD Early academic 1 $715; Academic $815; Early industry $815; Industry $915; Additional paper fee $50","","https://www.elsevier.com/events/conferences/all/future-foods-congress",""
"RSNA Annual Meeting 2027","","","","","","USD Associate (Non-Physician) Member $500; First Year in Practice Member $250; Executive Management Industry personnel Investor $1785; Medical Imaging Professional* (Non-Physician) $1015; Non-Member Resident Non-Member Trainee Non-Member Student $900; Other** Non-Physician/Non-Industry $1785","","https://www.rsna.org/annual-meeting/future-and-past-meetings",""
"EPIDEMICS 11: 11th International Conference on Infectious Disease Dynamics","","","","","","USD Early Booking Delegate $615; Late Booking Delegate $715; Student Delegates 1 $315; Developing Country Rate 2 $420; Early Booking Loyalty Rate (5% discount) Delegate* $584; Late Booking Loyalty Rate (5% discount) Delegate* $679; Loyalty Rate (5% discount) Student Delegate* $299; Additional paper fee $50","","https://www.elsevier.com/events/conferences/all/international-conference-on-infectious-disease-dynamics",""
