conference_name,acronym,category,sub_category,start_date,end_date,city,country,format,overview,call_for_papers,cfp_deadline,fees_and_pricing,program_agenda,keynote_speakers,technical_committee,sponsors,venue,accommodation,organizer,website_or_source,record_status,data_quality_notes,source_url,official_url,official_url_status,domain_type,logo_url,logo_source_type,cfp_url,registration_url,program_url,committee_url,last_url_verified,date_precision,verification_status,v3_standard_version
2026 9th International Conference on Computational Intelligence and Intelligent Systems,CIIS 2026,Technology,Computational Intelligence,2026-10-26,2026-10-28,Osaka,Japan,In-person,International conference focused on computational intelligence.,Call for papers / abstract submissions published.,2026-06-05,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/conference?tags=artificial+intelligence,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2nd Global Cleaner Production Conference,GCP 2026,Sustainability,Cleaner Production,2026-10-26,2026-10-29,Sitges,Spain,In-person,International conference focused on cleaner production.,Not yet announced as of 10 Sep 2026,,,,,,,"Meliá Sitges, Spain",Not yet announced as of 10 Sep 2026,Elsevier conference portfolio,https://www.elsevier.com/events/conferences/all/global-cleaner-production-conference,DISCOVERY VERIFIED,,https://www.elsevier.com/en-gb/events/conferences/all,https://www.elsevier.com/events/conferences/all/global-cleaner-production-conference,RESOLVED_OFFICIAL,organizer_or_event_owner_page,https://www.google.com/s2/favicons?domain=elsevier.com&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
Black Hat India 2026,Black Hat India,Cybersecurity,Information Security,2026-10-27,2026-10-30,Bengaluru,India,In-person,Black Hat cybersecurity event serving the Indian security community.,Not yet announced as of 10 Sep 2026,,,"Security trainings, briefings and industry program.",,,,"Sheraton Grand, Bengaluru",Not yet announced as of 10 Sep 2026,Black Hat,https://blackhat.com/upcoming.html,Official confirmed,,https://blackhat.com/upcoming.html,https://blackhat.com/upcoming.html,EXISTING_OFFICIAL_OR_ORGANIZER,organizer_or_event_owner_page,https://www.google.com/s2/favicons?domain=blackhat.com&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2026 4th International Conference on Artificial Intelligence and Power Engineering,AIPE 2026,Technology & Energy,AI & Power Engineering,2026-10-30,2026-11-01,Nanjing,China,In-person,International conference focused on ai & power engineering.,Call for papers / abstract submissions published.,2026-06-10,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/conference?tags=artificial+intelligence,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2026 9th International Conference on Robotic Systems and Applications,ICRSA 2026,Technology,Robotic Systems,2026-10-30,2026-11-01,Huizhou,China,In-person,International conference focused on robotic systems.,Call for papers / abstract submissions published.,2026-06-05,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/conference?tags=artificial+intelligence,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
UN Climate Change Conference COP31,COP31,Sustainability & Policy,Climate,2026-11,,Antalya,Türkiye,In-person,"UN climate change conference (COP31), listed for November 2026.",Government/observer accreditation and side-event processes; not a conventional CFP.,,Accreditation-dependent; no standard attendee ticket model.,"Negotiations, plenaries, side events, pavilions and thematic programming.","Heads of state, ministers and global climate leaders; roster evolves.",UNFCCC governance and constituted bodies.,"Country, institutional and pavilion partners; sponsorship differs from commercial conferences.",,Accommodation organized independently/through delegations; official guidance evolves.,UNFCCC,,Discovery index,missing official URL; missing end date; venue not verified,https://impactconvene.com/conferences/,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,month,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
"Cell Press Symposia: Biological Function in 3D — Structure, Dynamics, and AI",Biological Function in 3D 2026,Science & Technology,Structural Biology & AI,2026-11-05,2026-11-07,Shenzhen,China,In-person,International conference focused on structural biology & ai.,Not yet announced as of 10 Sep 2026,,,,,,,,Not yet announced as of 10 Sep 2026,Cell Press / Elsevier,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.elsevier.com/en-au/events/conferences/all,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2026 16th International Conference on Information and Multimedia Technology,ICIMT 2026,Technology,Information & Multimedia Technology,2026-11-06,2026-11-08,Shenzhen,China,In-person,International conference focused on information & multimedia technology.,Call for papers / abstract submissions published.,2026-05-20,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.icimt.org/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/conference?tags=Computer+Science+and+Technologies,https://www.icimt.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=www.icimt.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2026 6th International Joint Conference on Robotics and Artificial Intelligence,JCRAI 2026,Technology & Engineering,Robotics / AI,2026-11-06,,Beijing,China,In-person,International joint conference on robotics and artificial intelligence.,Not yet announced as of 10 Sep 2026,,,Technical sessions and papers.,,,,,Not yet announced as of 10 Sep 2026,Conference organizers,https://www.jcrai.org/,Discovery index,missing end date; venue not verified,https://worldconferencecalendar.com/,https://www.jcrai.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=jcrai.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2026 11th International Conference on Power Electronics Systems and Applications,PESA 2026,Energy & Engineering,Power Electronics,2026-11-13,2026-11-15,Singapore,Singapore,In-person,International conference focused on power electronics.,Call for papers / abstract submissions published.,2026-10-05,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.icpesa.net/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/conference?tags=Energy+and+Resources,https://www.icpesa.net/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=icpesa.net&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2026 12th International Conference on Communication and Information Processing,ICCIP 2026,Technology,Communication & Information Processing,2026-11-13,2026-11-16,Lingshui,China,In-person,International conference focused on communication & information processing.,Call for papers / abstract submissions published.,2026-06-25,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://iccip.org/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/conference?tags=artificial+intelligence,https://iccip.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=iccip.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2026 5th International Conference on Mechanical Engineering and Power Engineering,MEPE 2026,Engineering,Mechanical & Power Engineering,2026-11-14,2026-11-16,Seoul,South Korea,In-person,International conference focused on mechanical & power engineering.,Call for papers / abstract submissions published.,2026-06-20,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/conference?tags=Mechanical+Engineering,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2026 13th International Conference on Soft Computing & Machine Intelligence,ISCMI 2026,Technology,Soft Computing & Machine Intelligence,2026-11-18,2026-11-20,Vienna,Austria,In-person,International conference focused on soft computing & machine intelligence.,Call for papers / abstract submissions published.,2026-06-10,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iscmi.us/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/conference?tags=artificial+intelligence,https://www.iscmi.us/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=www.iscmi.us&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2026 2nd International Conference on Image and Video Processing,ICIVP 2026,Technology,Image & Video Processing,2026-11-18,2026-11-20,Kyoto,Japan,In-person,International conference focused on image & video processing.,Call for papers / abstract submissions published.,2026-05-30,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/conference?tags=Computer+Science+and+Technologies,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2026 2nd International Conference on Artificial Intelligence Security and Governance,ICAISG 2026,Technology,AI Security & Governance,2026-11-20,2026-11-22,Hangzhou,China,In-person,International conference focused on ai security & governance.,Call for papers / abstract submissions published.,2026-06-15,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/conference?tags=artificial+intelligence,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
"2026 9th International Conference on Mechanical, System and Control Engineering",ICMSC 2026,Engineering,Mechanical Systems & Control,2026-11-22,2026-11-24,Toyama,Japan,In-person,International conference focused on mechanical systems & control.,Call for papers / abstract submissions published.,2026-07-05,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/conference?tags=Mechanical+Engineering,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2026 12th International Conference on Mechanical Engineering and Aerospace Engineering,MEAE 2026,Engineering,Mechanical & Aerospace Engineering,2026-11-27,2026-11-29,Xi'an,China,In-person,International conference focused on mechanical & aerospace engineering.,Call for papers / abstract submissions published.,2026-07-10,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.meae.org/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/conference?tags=Mechanical+Engineering,https://www.meae.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=www.meae.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2026 9th International Conference on Environment and Ocean Engineering,ICEOE 2026,Environment,Ocean & Environmental Engineering,2026-11-27,2026-11-29,Ho Chi Minh City,Vietnam,In-person,International conference focused on ocean & environmental engineering.,Call for papers / abstract submissions published.,2026-09-30,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iceoe.org/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/conference?tags=Energy+and+Resources,https://www.iceoe.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=iceoe.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
RSNA Annual Meeting 2026,RSNA 2026,Health & Medicine,Radiology & Medical Imaging,2026-11-29,2026-12-03,Chicago,United States,In-person + virtual,"RSNA 112th Scientific Assembly and Annual Meeting, themed “At the Center of Care,” with scientific, education and technical-exhibit programming.",2026 abstract submission cycle has been managed through RSNA; current submission deadline not captured in the official pages checked.,,"Members: Full Access member US$0; Standard member US$500; Basic member US$1,215 in-person & virtual / US$500 virtual. Select categories: Associate US$500; First Year in Practice US$250; trainee/student US$100; discount-eligible-country member US$610 in-person+virtual / US$250 virtual. Non-member Physician/Physicist/Scientist: US$2,425 in-person+virtual, US$1,405 in-person only, US$1,020 virtual, US$630 exhibits-only. Rates rise US$100 on 2 Oct for applicable categories.",Educational courses and scientific sessions across radiology subspecialties; six live-streamed plenary sessions; Technical Exhibits 29 Nov–2 Dec; Annual Meeting 29 Nov–3 Dec 2026.,"Jeffrey S. Klein, MD — President’s Address; Jonathan S. Lewin, MD — Opening Plenary; Gwendolyn M. Bryant-Smith, MD — Monday plenary; Mark P. Bernstein, MD — plenary on mass-casualty incidents; Janice M. Newsome, MD — plenary on humanism, equity and AI in interventional radiology.",,,"McCormick Place, Chicago, Illinois, USA",RSNA official hotel program offers up to 30% off participating Chicago hotels. Official partners include Maritz for registration and onPeak for housing-related services.,Radiological Society of North America (RSNA),https://www.rsna.org/annual-meeting,OFFICIAL VERIFIED,,https://www.rsna.org/annual-meeting,https://www.rsna.org/annual-meeting,EXISTING_OFFICIAL_OR_ORGANIZER,organizer_or_event_owner_page,https://www.google.com/s2/favicons?domain=www.rsna.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
AWS re:Invent 2026,AWS re:Invent,Technology,Cloud Computing & AI,2026-11-30,2026-12-04,Las Vegas,United States,In-person,"AWS flagship cloud and AI conference with 2,200+ sessions, 3,000+ speakers, workshops, architecture deep-dives, Expo and hands-on learning.",Content is curated through AWS speaker/session processes; no general academic CFP.,,"Full conference pass: US$2,499. Bulk purchase: 10% discount when purchasing 10 or more tickets in one transaction. Early-bird pricing ended 25 Aug 2026.","Mon 30 Nov: sessions across venues, self-paced learning 8:00 AM–5:30 PM, community spaces, Expo welcome reception 4:00–7:00 PM. Tue 1 Dec: badge pickup 6:30 AM–8:00 PM; Opening Keynote 8:30–10:30 AM; Expo 10:00 AM–6:00 PM. 2,200+ total sessions across five days.","Matt Garman — CEO, AWS — Opening Keynote on 1 Dec 2026. Additional 2026 keynote announcements are still pending on the official keynote page.","AWS event content is curated by AWS event, engineering and content teams; a public academic-style technical committee is not listed.",Emerald sponsors: Accenture; Anthropic; Capgemini; Datadog; Deloitte; IBM; MongoDB; NVIDIA; OpenAI. Expo includes 420+ sponsors and booths.,"Multi-venue Las Vegas campus including The Venetian, Caesars Forum, Caesars Palace, Encore, MGM Grand and Wynn.",Official re:Invent hotel inventory is managed through the AWS registration portal; specific rates vary by property and availability.,Amazon Web Services (AWS),https://aws.amazon.com/events/reinvent/,OFFICIAL VERIFIED,,https://aws.amazon.com/events/reinvent/,https://aws.amazon.com/events/reinvent/,EXISTING_OFFICIAL_OR_ORGANIZER,organizer_or_event_owner_page,https://www.google.com/s2/favicons?domain=aws.amazon.com&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
Black Hat Middle East & Africa 2026,Black Hat MEA,Cybersecurity,Information Security,2026-12-01,2026-12-03,Riyadh,Saudi Arabia,In-person,Large regional cybersecurity conference and exhibition.,Not yet announced as of 10 Sep 2026,,,"Technical sessions, cybersecurity content, exhibition and networking.",,,,"Riyadh Exhibition & Convention Center, Malham",Not yet announced as of 10 Sep 2026,Black Hat MEA,https://blackhat.com/upcoming.html,Official confirmed,,https://blackhat.com/upcoming.html,https://blackhat.com/upcoming.html,EXISTING_OFFICIAL_OR_ORGANIZER,organizer_or_event_owner_page,https://www.google.com/s2/favicons?domain=blackhat.com&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
SIGGRAPH Asia 2026,SIGGRAPH Asia 2026,Technology & Creative,Computer Graphics & Interactive Techniques,2026-12-01,2026-12-04,Kuala Lumpur,Malaysia,In-person,19th ACM SIGGRAPH Conference and Exhibition on Computer Graphics and Interactive Techniques in Asia.,Program-specific calls are managed by SIGGRAPH Asia; current deadlines not captured in the official source checked.,,,Conference and exhibition on computer graphics and interactive techniques; detailed program not captured in the official listing used here.,,,,"Kuala Lumpur Convention Centre, Kuala Lumpur, Malaysia",Not yet announced as of 10 Sep 2026,ACM SIGGRAPH,https://www.siggraph.org/siggraph-events/conferences/,OFFICIAL VERIFIED,,https://www.siggraph.org/siggraph-events/conferences/,https://www.siggraph.org/siggraph-events/conferences/,EXISTING_OFFICIAL_OR_ORGANIZER,organizer_or_event_owner_page,https://www.google.com/s2/favicons?domain=www.siggraph.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2026 17th Asia Conference on Mechanical and Aerospace Engineering,ACMAE 2026,Engineering,Mechanical & Aerospace Engineering,2026-12-02,2026-12-04,Phuket,Thailand,In-person,International conference focused on mechanical & aerospace engineering.,Call for papers / abstract submissions published.,2026-07-15,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/conference?tags=Mechanical+Engineering,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
