conference_name,acronym,category,sub_category,start_date,end_date,city,country,format,overview,call_for_papers,cfp_deadline,fees_and_pricing,program_agenda,keynote_speakers,technical_committee,sponsors,venue,accommodation,organizer,website_or_source,record_status,data_quality_notes
2026 12th International Conference on Communication and Information Processing,ICCIP 2026,Technology,Communication & Information Processing,2026-11-13,2026-11-16,Lingshui,China,In-person,International conference focused on communication & information processing.,Call for papers / abstract submissions published.,2026-06-25,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Lingshui, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=artificial+intelligence,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 12th International Conference on Computer Technology Applications,ICCTA 2026,Technology,Computer Technology Applications,2026-06-17,2026-06-19,Vienna,Austria,In-person,International conference focused on computer technology applications.,Call for papers / abstract submissions published.,2026-02-05,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Vienna, Austria",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Computer+Science+and+Technologies,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 12th International Conference on Control and Robotics Engineering,ICCRE 2027,Technology & Engineering,Control & Robotics Engineering,2027-05-07,2027-05-09,Hong Kong,China,In-person,International conference focused on control & robotics engineering.,Call for papers / abstract submissions published.,2026-12-20,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,International Advisory: Shugen Ma; Tong Heng Lee. Conference Chairs: Makoto Iwasaki; Xingjian Jing. Program Chairs: Juntao Fei; Qing Shi; Weiwei Wan. Program Co-Chairs: Ryosuke Tasaki; Juha Plosila; Xiaoguang Gao.,"Co-sponsored by City University of Hong Kong, Hohai University and IEEE Robotics and Automation Society.","Hong Kong Productivity Council (HKPC), Hong Kong",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference/ICCRE2027_9830,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 12th International Conference on Mechanical and Electronics Engineering,ICMEE 2026,Engineering,Mechanical & Electronics Engineering,2026-12-29,2026-12-31,Guangzhou,China,In-person,International conference focused on mechanical & electronics engineering.,Call for papers / abstract submissions published.,2026-06-30,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Guangzhou, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Mechanical+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 12th International Conference on Mechanical Engineering and Aerospace Engineering,MEAE 2026,Engineering,Mechanical & Aerospace Engineering,2026-11-27,2026-11-29,Xi'an,China,In-person,International conference focused on mechanical & aerospace engineering.,Call for papers / abstract submissions published.,2026-07-10,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Xi'an, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Mechanical+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 12th International Conference on Sustainable and Renewable Energy Engineering,ICSREE 2027,Energy & Sustainability,Renewable Energy,2027-05-25,2027-05-28,Madrid,Spain,In-person,International academic conference on sustainable and renewable energy engineering.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,"Technical sessions, papers and research presentations.",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Madrid, Spain",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
2027 13th International Conference on Computer Technology Applications,ICCTA 2027,Technology,Computer Technology Applications,2027-06-02,2027-06-04,Vienna,Austria,In-person,International conference focused on computer technology applications.,Call for papers / abstract submissions published.,2027-01-05,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Vienna, Austria",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?confDateEnd=&confDateStart=&confName=&contient=&country=&tags=information+science,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 13th International Conference on Computing and Data Engineering,ICCDE 2027,Technology,Computing & Data Engineering,2027-02-17,2027-02-19,Phuket,Thailand,In-person,International conference focused on computing & data engineering.,Call for papers / abstract submissions published.,2026-09-25,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Phuket, Thailand",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/news/1175,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
"2027 13th International Conference on Control, Automation and Robotics",ICCAR 2027,Technology & Engineering,"Control, Automation & Robotics",2027-04-23,2027-04-25,Nanchang,China,In-person,"International conference focused on control, automation & robotics.",Call for papers / abstract submissions published.,2026-12-25,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Sponsored by East China Jiaotong University; supported by Nagoya Institute of Technology, Osaka Metropolitan University, Dalian Maritime University, Laurentian University and Sungkyunkwan University.","Nanchang, China",Not yet announced as of 10 Sep 2026,East China Jiaotong University / ICCAR Organizing Committee,https://www.iconf.com/conference/ICCAR2027_9688,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
"2027 13th International Conference on e-Society, e-Learning and e-Technologies",ICESLT 2027,Education & Technology,e-Learning,2027-06-16,2027-06-18,Rome,Italy,In-person,"Academic conference on e-society, e-learning and e-technologies.",Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Paper sessions and research presentations.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Rome, Italy",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
2027 13th International Conference on Education and Training Technologies,ICETT 2027,Education,Education & Training Technologies,2027-05-21,2027-05-23,Seoul,South Korea,In-person,International conference focused on education & training technologies.,Call for papers / abstract submissions published.,2026-12-25,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Seoul, South Korea",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?confDateEnd=&confDateStart=&confName=&contient=&country=&tags=Education,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
"2026 13th International Conference on Mechanical, Automotive and Materials Engineering",CMAME 2026,Engineering,"Mechanical, Automotive & Materials",2026-12-18,2026-12-20,Singapore,Singapore,In-person,"International conference focused on mechanical, automotive & materials.",Call for papers / abstract submissions published.,2026-08-01,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Singapore, Singapore",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Mechanical+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 13th International Conference on Mechatronics and Robotics Engineering,ICMRE 2027,Technology & Engineering,Mechatronics & Robotics,2027-03-03,2027-03-05,Grimstad,Norway,In-person,International conference focused on mechatronics & robotics.,Call for papers / abstract submissions published.,2026-09-25,Not yet announced as of 10 Sep 2026,"3 Mar: arrival/material collection; 4 Mar: opening, keynote speeches and oral paper presentations; 5 Mar: oral and poster presentations.",Not yet announced as of 10 Sep 2026,Conference Chairs: Jing Zhou; Andreas Rauh. Co-Chairs: Ian Walker; Belkacem Ould Bouamama. Program Chairs: Johannes Reuter; Huosheng Hu; Johann Reger; Andras Horvath; Wei Meng; Zhongbin Wang. Student Program Chairs: Jiangping Hu; Wenfeng Hu; Tan Zhang.,"Sponsored by University of Agder, Norway.","University of Agder, Grimstad, Norway",Not yet announced as of 10 Sep 2026,University of Agder / ICMRE,https://www.iconf.com/conference/ICMRE2027_9535,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 13th International Conference on Renewable Energy Technologies,ICRET 2027,Energy & Resources,Renewable Energy,2027-04-28,2027-04-30,Osaka,Japan,In-person,International conference focused on renewable energy.,Call for papers / abstract submissions published.,2026-11-01,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Osaka, Japan",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Energy+and+Resources,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 13th International Conference on Soft Computing & Machine Intelligence,ISCMI 2026,Technology,Soft Computing & Machine Intelligence,2026-11-18,2026-11-20,Vienna,Austria,In-person,International conference focused on soft computing & machine intelligence.,Call for papers / abstract submissions published.,2026-06-10,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Vienna, Austria",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=artificial+intelligence,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
14th Global Conference & Expo on Materials Science and Engineering,ISTPMSE 2027,Science & Engineering,Materials Science & Engineering,2027-03-24,2027-03-25,Paris,France,In-person,International conference focused on materials science & engineering.,Call for papers / abstract submissions published.,2026-12-31,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Paris, France",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference/14thGlobalConference%26ExpoonMaterialsScienceandEngineering_9585,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
14th International Conference on Advanced Nanomaterials and Emerging Applications,ANEA 2027,Science & Engineering,Nanomaterials,2027-01-08,2027-01-10,Sanya,China,In-person,International conference on advanced nanomaterials and emerging applications.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Scientific paper sessions.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Sanya, China",Not yet announced as of 10 Sep 2026,Academic Communications / organizers,https://conferencesked.com/conferences/conferences-2027,Discovery verified,Conference listed in Jan 2027 index; enrich from official site.
2026 14th International Conference on Computer and Communications Management,ICCCM 2026,Technology,Computer & Communications Management,2026-07-24,2026-07-26,Tokyo,Japan,In-person,International conference focused on computer & communications management.,Call for papers / abstract submissions published.,2026-02-15,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Tokyo, Japan",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Communication+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 14th International Conference on Electrical and Electronics Engineering,ICEEE 2027,Engineering,Electrical & Electronics Engineering,2027-04-16,2027-04-18,Ankara,Türkiye,In-person,"International conference on power systems, automation, electronics, signal processing, communications, renewable energy, smart grids and smart buildings.",Call for papers / abstract submissions published.,2026-12-01,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Ankara, Türkiye",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference/ICEEE2027_9727,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 14th International Conference on Management and Education Innovation,ICMEI 2027,Education & Management,Management & Education Innovation,2027-06-09,2027-06-11,London,United Kingdom,In-person,International conference focused on management & education innovation.,Call for papers / abstract submissions published.,2027-01-20,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"London, United Kingdom",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?confDateEnd=&confDateStart=&confName=&contient=&country=&tags=Education,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
